country,pop,density pop,sex ratio,gdp,gdp_percap,%agric,%indust,%services,unemployment,exports,imports,%urbanpop,fertility,inf_mort,internet,exp_fem,exp_male,cat
Ghana,28834,126.7,99.3,37156,1355.6,19,26.9,54.1,5.9,7221,11939,54,4.2,46.5,238,62.6,60.7,4
Greece,11160,86.6,96.9,194860,17788,4.1,15.7,80.2,23,27811,47595,78,1.3,3.3,374,83.3,78,2
Guatemala,16914,157.8,96.9,63794,3903.5,10.8,27.2,62,2.4,10572,16987,51.6,3.2,26.9,290,75.6,69.2,3
Guinea-Bissau,1861,66.2,96.9,978,530,45,14.5,40.5,6.5,885,212,49.3,4.9,80.4,77,57.7,54.3,4
Guinea,12717,51.8,100.6,8875,703.9,19.8,32.8,47.4,6.8,1753,2082,37.2,5.1,65.7,185,58.4,57.4,4
Guyana,778,4,101.9,3282,4278.8,17.6,31.7,50.6,11.3,1453,1625,28.6,2.6,33.2,94,68.6,64,3
Haiti,10981,398.4,97.8,8501,793.7,16.7,38.2,45.1,12.9,984,3316,58.6,3.1,46.9,205,64.4,60.2,4
Honduras,9265,82.8,99.4,20365,2521.9,13,25.1,61.9,5.6,3657,8448,54.7,2.6,27.8,301,75.4,70.4,3
Hungary,9722,107.4,90.7,121715,12350.6,4.1,31.9,64,4.5,103071,92044,71.2,1.3,4.9,66,78.8,71.7,2
Iceland,335,3.3,100.7,16780,50936,6.4,24,69.7,3.6,4450,5703,94.1,2,1.6,27,83.8,80.6,1
India,1339180,450.4,107.6,2116239,1614.2,17,29.7,53.2,3.4,260327,356705,32.7,2.4,41.3,1052,69.1,66.2,3
Indonesia,263991,145.7,101.4,861934,3346.5,14,41.3,44.7,5.8,144490,135653,53.7,2.4,25,1281,70.7,66.6,3
Iran,81163,49.8,101.2,398563,5038.1,8.6,39.1,52.3,11.3,45627,35333,73.4,1.7,14.8,134,76.2,74,2
Iraq,38275,88.1,102.5,164234,4509,4.6,58,37.4,16.1,27341,45831,69.5,4.6,32.1,72,71.4,67,3
Ireland,4762,69.1,98.4,283716,60513.6,1,41.7,57.3,7.6,129315,76997,63.2,2,3.4,50,83,78.7,1
Israel,8322,384.5,98.7,299413,37129.4,1.3,21.2,77.5,5.9,60571,65803,92.1,3,3.4,174,83.7,80,1
Italy,59360,201.8,95.1,1821580,30462.4,2.2,23.5,74.2,11.4,461529,404578,69,1.4,3,359,84.7,79.9,2
Jamaica,2890,266.9,99,14262,5105.8,7.1,22.3,70.5,13.1,1202,4767,54.8,2.1,15,311,77.9,73.1,3
Japan,127484,349.7,95.4,4383076,34628.7,1.2,26.4,72.4,3,644932,606924,93.5,1.4,2.2,404,86.4,80,1
Jordan,9702,109.3,102.6,37517,4940.1,4,27.7,68.4,13.4,7509,19207,83.7,3.6,17.1,113,75.5,72.2,3
Kazakhstan,18204,6.7,93.9,181754,10312.1,5,32.5,62.5,5.6,36775,25175,53.2,2.7,14.1,82,73.9,64.3,2
Kenya,49700,87.3,98.8,63399,1376.7,32,19,49,10.8,5688,14109,25.6,4.1,39.4,480,67.8,63,4
Kuwait,4136,232.1,134.9,114054,29303.9,0.6,48.7,50.7,2.2,46238,30825,98.3,2,8.4,49,75.5,73.5,2
Kyrgyzstan,6045,31.5,98.4,6572,1106.4,15.4,25.9,58.7,7.7,1423,3844,35.7,3.1,19.6,44,74.3,66.4,3
Lao People's Democratic Republic,6858,29.7,99.5,12585,1850.2,23.6,32.8,43.6,1.5,2066,4513,38.6,2.9,47.3,209,66.8,63.9,4
Latvia,1950,31.3,84.9,27004,13704.1,3.2,23.3,73.5,9.6,11433,13596,67.4,1.5,6.5,30,78.7,68.8,2
